language,file_path,class_name,smell_type,category,method,line_start,line_end,annotation_kind,evidence
python,Python/SmellyAnnotated/Cashier.py,Cashier,Control Coupling,Couplers,__init__,13,13,inline,        self.chef = chef  # Control Coupling
python,Python/SmellyAnnotated/Cashier.py,Cashier,Primitive Obsession,Bloaters,__init__,14,14,inline,        self.frequent_customer_discount = False  # Primitive Obsession
python,Python/SmellyAnnotated/Cashier.py,Cashier,Data Clumps,Bloaters,__init__,16,21,block,        # Data Clumps
python,Python/SmellyAnnotated/Cashier.py,Cashier,Temporary Field,Object-Orientation Abusers,__init__,23,25,block,        # Temporary Fields
python,Python/SmellyAnnotated/Cashier.py,Cashier,Feature Envy,Couplers,take_order,29,29,inline,        self.chef.bake_pizza(pizza_type)  # Feature Envy
python,Python/SmellyAnnotated/Cashier.py,Cashier,Inappropriate Intimacy,Couplers,calm_customer_down,37,37,inline,        self.chef.clean_kitchen()  # Inappropriate Intimacy
python,Python/SmellyAnnotated/Cashier.py,Cashier,Speculative Generality,Dispensables,ask_for_receipt,43,43,inline,"        print(""Customer is asking for a receipt."")  # Speculative Generality (unused method)"
python,Python/SmellyAnnotated/Cashier.py,Cashier,Dead Code,Dispensables,another_unused_method,46,46,inline,        pass  # Dead Code (method is never called)
python,Python/SmellyAnnotated/Cashier.py,Cashier,Dead Code,Dispensables,yet_another_unused_method,49,49,inline,        pass  # More Dead Code
python,Python/SmellyAnnotated/Cashier.py,Cashier,Long Method,Bloaters,long_method,52,58,block,        # Long Method (too many tasks in a single method)
python,Python/SmellyAnnotated/Cashier.py,Cashier,Long Parameter List,Bloaters,order_with_unnecessary_details,61,65,block,        # Long Parameter List (too many parameters in the method)
python,Python/SmellyAnnotated/Cashier.py,Cashier,Duplicate Code,Dispensables,duplicate_method,68,71,block,        # Duplicate Code (repeating functionality)
python,Python/SmellyAnnotated/Cashier.py,Cashier,Message Chains,Couplers,chain_of_methods,74,76,block,        # Message Chain (calling methods on objects returned by another method)
python,Python/SmellyAnnotated/Cashier.py,Cashier,Middle Man,Couplers,middleman_method,79,81,block,        # Middle Man (methods that delegate to other methods)
python,Python/SmellyAnnotated/Cashier.py,Cashier,Inappropriate Intimacy,Couplers,access_internal_details,91,92,block,        # Inappropriate Intimacy (accessing internal details of another class)
python,Python/SmellyAnnotated/Cashier.py,Cashier,Shotgun Surgery,Change Preventers,update_contact_info,95,100,block,        # Shotgun Surgery (changing multiple methods to update contact info)
python,Python/SmellyAnnotated/Cashier.py,Cashier,Shotgun Surgery,Change Preventers,update_name,103,105,block,        # Shotgun Surgery (separate method to update name)
python,Python/SmellyAnnotated/Cashier.py,Cashier,Shotgun Surgery,Change Preventers,update_address,108,109,block,        # Shotgun Surgery (separate method to update address)
python,Python/SmellyAnnotated/Cashier.py,Cashier,Shotgun Surgery,Change Preventers,update_phone_number,112,113,block,        # Shotgun Surgery (separate method to update phone number)
python,Python/SmellyAnnotated/Cashier.py,Cashier,Shotgun Surgery,Change Preventers,update_email,116,117,block,        # Shotgun Surgery (separate method to update email)
python,Python/SmellyAnnotated/Cashier.py,Cashier,Divergent Change,Change Preventers,notify_for_promotion,120,121,block,        # Divergent Change (method to notify for promotion)
python,Python/SmellyAnnotated/Cashier.py,Cashier,Divergent Change,Change Preventers,notify_for_discount,124,125,block,        # Divergent Change (method to notify for discount)
python,Python/SmellyAnnotated/Cashier.py,Cashier,Divergent Change,Change Preventers,notify_for_new_arrivals,128,129,block,        # Divergent Change (method to notify for new arrivals)
python,Python/SmellyAnnotated/Cashier.py,Cashier,Parallel Inheritance Hierarchies,Object-Orientation Abusers,apply_discount,132,133,block,        # Parallel Inheritance Hierarchies (method to apply discount)
python,Python/SmellyAnnotated/Cashier.py,Cashier,Parallel Inheritance Hierarchies,Object-Orientation Abusers,apply_loyalty_points,136,137,block,        # Parallel Inheritance Hierarchies (method to apply loyalty points)
python,Python/SmellyAnnotated/Cashier.py,Cashier,Switch Statements,Object-Orientation Abusers,handle_complaint,140,148,block,        # Switch Statements (using if-else to simulate switch)
python,Python/SmellyAnnotated/Cashier.py,Cashier,Refused Bequest,Object-Orientation Abusers,refused_bequest,151,152,block,        # Refused Bequest (method that should be inherited but is empty)
python,Python/SmellyAnnotated/Chef.py,Chef,Primitive Obsession,Bloaters,__init__,19,20,block,        # Primitive Obsession
python,Python/SmellyAnnotated/Chef.py,Chef,Data Clumps,Bloaters,__init__,22,27,block,        # Data Clumps
python,Python/SmellyAnnotated/Chef.py,Chef,Temporary Field,Object-Orientation Abusers,__init__,29,31,block,        # Temporary Fields
python,Python/SmellyAnnotated/Chef.py,Chef,Shotgun Surgery,Change Preventers,update_contact_info,53,58,block,        # Shotgun Surgery (changing multiple methods to update contact info)
python,Python/SmellyAnnotated/Chef.py,Chef,Shotgun Surgery,Change Preventers,update_name,61,63,block,        # Shotgun Surgery (separate method to update name)
python,Python/SmellyAnnotated/Chef.py,Chef,Shotgun Surgery,Change Preventers,update_address,66,67,block,        # Shotgun Surgery (separate method to update address)
python,Python/SmellyAnnotated/Chef.py,Chef,Shotgun Surgery,Change Preventers,update_phone_number,70,71,block,        # Shotgun Surgery (separate method to update phone number)
python,Python/SmellyAnnotated/Chef.py,Chef,Shotgun Surgery,Change Preventers,update_email,74,75,block,        # Shotgun Surgery (separate method to update email)
python,Python/SmellyAnnotated/Chef.py,Chef,Divergent Change,Change Preventers,notify_for_promotion,78,79,block,        # Divergent Change (method to notify for promotion)
python,Python/SmellyAnnotated/Chef.py,Chef,Divergent Change,Change Preventers,notify_for_discount,82,83,block,        # Divergent Change (method to notify for discount)
python,Python/SmellyAnnotated/Chef.py,Chef,Divergent Change,Change Preventers,notify_for_new_arrivals,86,87,block,        # Divergent Change (method to notify for new arrivals)
python,Python/SmellyAnnotated/Chef.py,Chef,Parallel Inheritance Hierarchies,Object-Orientation Abusers,apply_discount,90,91,block,        # Parallel Inheritance Hierarchies (method to apply discount)
python,Python/SmellyAnnotated/Chef.py,Chef,Parallel Inheritance Hierarchies,Object-Orientation Abusers,apply_loyalty_points,94,95,block,        # Parallel Inheritance Hierarchies (method to apply loyalty points)
python,Python/SmellyAnnotated/Chef.py,Chef,Switch Statements,Object-Orientation Abusers,handle_complaint,98,106,block,        # Switch Statements (using if-else to simulate switch)
python,Python/SmellyAnnotated/Chef.py,Chef,Speculative Generality,Dispensables,ask_for_receipt,109,109,inline,"        print(""Customer is asking for a receipt."")  # Speculative Generality (unused method)"
python,Python/SmellyAnnotated/Chef.py,Chef,Dead Code,Dispensables,another_unused_method,112,112,inline,        pass  # Dead Code (method is never called)
python,Python/SmellyAnnotated/Chef.py,Chef,Dead Code,Dispensables,yet_another_unused_method,115,115,inline,        pass  # More Dead Code
python,Python/SmellyAnnotated/Chef.py,Chef,Long Method,Bloaters,long_method,118,131,block,        # Long Method (too many tasks in a single method)
python,Python/SmellyAnnotated/Chef.py,Chef,Long Parameter List,Bloaters,order_with_unnecessary_details,134,138,block,        # Long Parameter List (too many parameters in the method)
python,Python/SmellyAnnotated/Chef.py,Chef,Duplicate Code,Dispensables,duplicate_method,141,144,block,        # Duplicate Code (repeating functionality)
python,Python/SmellyAnnotated/Chef.py,Chef,Message Chains,Couplers,chain_of_methods,147,149,block,        # Message Chain (calling methods on objects returned by another method)
python,Python/SmellyAnnotated/Chef.py,Chef,Middle Man,Couplers,middleman_method,152,154,block,        # Middle Man (methods that delegate to other methods)
python,Python/SmellyAnnotated/Chef.py,Chef,Inappropriate Intimacy,Couplers,access_internal_details,164,165,block,        # Inappropriate Intimacy (accessing internal details of another class)
python,Python/SmellyAnnotated/Chef.py,Chef,Refused Bequest,Object-Orientation Abusers,refused_bequest,168,169,block,        # Refused Bequest (method that should be inherited but is empty)
python,Python/SmellyAnnotated/Customer.py,Customer,Control Coupling,Couplers,__init__,12,12,inline,        self.pizza_shop = pizza_shop  # Dependency Injection (Control Coupling)
python,Python/SmellyAnnotated/Customer.py,Customer,Primitive Obsession,Bloaters,__init__,13,13,inline,        self.frequent_customer_discount = False  # Primitive Obsession
python,Python/SmellyAnnotated/Customer.py,Customer,Data Clumps,Bloaters,__init__,15,20,block,        # Data Clumps
python,Python/SmellyAnnotated/Customer.py,Customer,Temporary Field,Object-Orientation Abusers,__init__,22,24,block,        # Temporary Fields
python,Python/SmellyAnnotated/Customer.py,Customer,Lazy Class,Dispensables,__init__,26,27,block,        # Lazy Class
python,Python/SmellyAnnotated/Customer.py,Customer,Feature Envy,Couplers,order_pizza,31,31,inline,        self.pizza_shop.receive_order(pizza_type)  # Feature Envy (refers to another class to do its work)
