language,file_path,class_name,smell_type,category,method,line_start,line_end,annotation_kind,evidence
javascript,JavaScript/SmellyAnnotated/Cashier.js,Cashier,Control Coupling,Couplers,constructor,13,13,inline,        this.chef = chef; // Control Coupling
javascript,JavaScript/SmellyAnnotated/Cashier.js,Cashier,Primitive Obsession,Bloaters,constructor,14,14,inline,        this.frequentCustomerDiscount = false; // Primitive Obsession
javascript,JavaScript/SmellyAnnotated/Cashier.js,Cashier,Data Clumps,Bloaters,constructor,16,21,block,        // Data Clumps
javascript,JavaScript/SmellyAnnotated/Cashier.js,Cashier,Temporary Field,Object-Orientation Abusers,constructor,23,26,block,        // Temporary Fields
javascript,JavaScript/SmellyAnnotated/Cashier.js,Cashier,Feature Envy,Couplers,takeOrder,30,30,inline,        this.chef.bakePizza(pizzaType); // Feature Envy
javascript,JavaScript/SmellyAnnotated/Cashier.js,Cashier,Inappropriate Intimacy,Couplers,calmCustomerDown,40,40,inline,        this.chef.cleanKitchen(); // Inappropriate Intimacy
javascript,JavaScript/SmellyAnnotated/Cashier.js,Cashier,Speculative Generality,Dispensables,askForReceipt,48,48,inline,"        console.log(""Customer is asking for a receipt.""); // Speculative Generality (unused method)"
javascript,JavaScript/SmellyAnnotated/Cashier.js,Cashier,Dead Code,Dispensables,anotherUnusedMethod,52,53,block,        // Dead Code (method is never called)
javascript,JavaScript/SmellyAnnotated/Cashier.js,Cashier,Dead Code,Dispensables,yetAnotherUnusedMethod,56,57,block,        // More Dead Code
javascript,JavaScript/SmellyAnnotated/Cashier.js,Cashier,Long Method,Bloaters,longMethod,60,67,block,        // Long Method (too many tasks in a single method)
javascript,JavaScript/SmellyAnnotated/Cashier.js,Cashier,Long Parameter List,Bloaters,orderWithUnnecessaryDetails,70,75,block,        // Long Parameter List (too many parameters in the method)
javascript,JavaScript/SmellyAnnotated/Cashier.js,Cashier,Duplicate Code,Dispensables,duplicateMethod,78,82,block,        // Duplicate Code (repeating functionality)
javascript,JavaScript/SmellyAnnotated/Cashier.js,Cashier,Message Chains,Couplers,chainOfMethods,85,88,block,        // Message Chain (calling methods on objects returned by another method)
javascript,JavaScript/SmellyAnnotated/Cashier.js,Cashier,Middle Man,Couplers,middlemanMethod,91,94,block,        // Middle Man (methods that delegate to other methods)
