model,prompt,tp,fp,fn,parse_errors,invalid,total_findings,FP/FN,err_rate
DeepSeek v3.2,p1_zero_shot,348,102,120,0,0,450,0.85,0.0
DeepSeek v3.2,p2_few_shot,384,38,84,0,0,424,0.45,0.0
DeepSeek v3.2,p3_taxonomy_tree,335,119,133,0,0,461,0.89,0.0
DeepSeek v3.2,p4_self_verify,212,180,256,0,0,401,0.7,0.0
DeepSeek v3.2,p5_rag_dense,352,46,116,0,0,401,0.4,0.0
DeepSeek v3.2,p5_rag_random,369,68,99,0,0,441,0.69,0.0
Gemma 3 27B-IT,p1_zero_shot,340,147,128,0,0,493,1.15,0.0
Gemma 3 27B-IT,p2_few_shot,382,25,86,0,0,409,0.29,0.0
Gemma 3 27B-IT,p3_taxonomy_tree,329,137,139,0,0,483,0.99,0.0
Gemma 3 27B-IT,p4_self_verify,269,127,199,0,0,402,0.64,0.0
Gemma 3 27B-IT,p5_rag_dense,319,22,149,0,0,344,0.15,0.0
Gemma 3 27B-IT,p5_rag_random,315,24,153,0,0,341,0.16,0.0
Mistral Devstral 2 123B,p1_zero_shot,330,124,138,0,0,457,0.9,0.0
Mistral Devstral 2 123B,p2_few_shot,442,20,26,0,0,465,0.77,0.0
Mistral Devstral 2 123B,p3_taxonomy_tree,303,217,165,0,0,524,1.32,0.0
Mistral Devstral 2 123B,p4_self_verify,278,229,190,0,0,516,1.21,0.0
Mistral Devstral 2 123B,p5_rag_dense,447,19,21,0,0,466,0.9,0.0
Mistral Devstral 2 123B,p5_rag_random,450,19,18,0,0,469,1.06,0.0
Qwen3 Coder 30B A3B,p1_zero_shot,408,80,60,0,0,489,1.33,0.0
Qwen3 Coder 30B A3B,p2_few_shot,419,49,49,0,0,470,1.0,0.0
Qwen3 Coder 30B A3B,p3_taxonomy_tree,347,105,121,0,0,453,0.87,0.0
Qwen3 Coder 30B A3B,p4_self_verify,368,120,100,0,0,490,1.2,0.0
Qwen3 Coder 30B A3B,p5_rag_dense,445,15,23,0,0,460,0.65,0.0
Qwen3 Coder 30B A3B,p5_rag_random,430,44,38,0,0,474,1.16,0.0
GPT-OSS 120B,p1_zero_shot,311,104,157,0,0,421,0.66,0.0
GPT-OSS 120B,p2_few_shot,327,21,141,1,0,352,0.15,0.003
GPT-OSS 120B,p3_taxonomy_tree,254,114,214,0,0,368,0.53,0.0
GPT-OSS 120B,p4_self_verify,281,93,187,0,0,376,0.5,0.0
GPT-OSS 120B,p5_rag_dense,417,38,51,0,0,455,0.75,0.0
GPT-OSS 120B,p5_rag_random,423,50,45,0,0,474,1.11,0.0
Gemma 3 4B-IT,p1_zero_shot,269,146,199,0,4,439,0.73,0.009
Gemma 3 4B-IT,p2_few_shot,132,66,336,0,3,216,0.2,0.014
Gemma 3 4B-IT,p3_taxonomy_tree,165,126,303,0,2,300,0.42,0.007
Gemma 3 4B-IT,p4_self_verify,195,138,273,2,6,370,0.51,0.022
Gemma 3 4B-IT,p5_rag_dense,137,44,331,1,0,186,0.13,0.005
Gemma 3 4B-IT,p5_rag_random,178,67,290,1,0,247,0.23,0.004
Mistral Voxtral Mini 3B,p1_zero_shot,364,46,104,0,1,412,0.44,0.002
Mistral Voxtral Mini 3B,p2_few_shot,254,8,214,0,0,264,0.04,0.0
Mistral Voxtral Mini 3B,p3_taxonomy_tree,311,84,157,1,0,403,0.54,0.002
Mistral Voxtral Mini 3B,p4_self_verify,186,158,282,2,0,351,0.56,0.006
Mistral Voxtral Mini 3B,p5_rag_dense,239,7,229,0,0,248,0.03,0.0
Mistral Voxtral Mini 3B,p5_rag_random,240,9,228,1,0,252,0.04,0.004
Nemotron Nano 3-30B,p1_zero_shot,328,200,140,0,2,678,1.43,0.003
Nemotron Nano 3-30B,p2_few_shot,348,43,120,0,1,396,0.36,0.003
Nemotron Nano 3-30B,p3_taxonomy_tree,321,208,147,0,0,616,1.41,0.0
Nemotron Nano 3-30B,p4_self_verify,24,7,444,27,0,31,0.02,0.871
Nemotron Nano 3-30B,p5_rag_dense,306,38,162,1,0,346,0.23,0.003
Nemotron Nano 3-30B,p5_rag_random,325,65,143,0,1,394,0.45,0.003
Nemotron Nano 9B v2,p1_zero_shot,123,86,345,10,2,212,0.25,0.057
Nemotron Nano 9B v2,p2_few_shot,288,39,180,3,0,329,0.22,0.009
Nemotron Nano 9B v2,p3_taxonomy_tree,125,93,343,11,0,219,0.27,0.05
Nemotron Nano 9B v2,p4_self_verify,216,115,252,4,1,334,0.46,0.015
Nemotron Nano 9B v2,p5_rag_dense,278,54,190,5,0,334,0.28,0.015
Nemotron Nano 9B v2,p5_rag_random,294,54,174,5,0,348,0.31,0.014
