language,file_path,class_name,smell_type,category,method,line_start,line_end,annotation_kind,evidence
java,Java/SmellyUnannotated/Cashier.java,Cashier,Large Class,Bloaters,Entire Class,,,,"The class handles multiple responsibilities: order taking, complaints, discounts, customer contact, and deliveries"
java,Java/SmellyUnannotated/Cashier.java,Cashier,Primitive Obsession,Bloaters,__init__,,,,Using a primitive (`boolean`) for `frequentCustomerDiscount` instead of a more expressive construct
java,Java/SmellyUnannotated/Cashier.java,Cashier,Data Clumps,Bloaters,__init__,,,,"Grouped customer details (`firstName`, `lastName`, `address`, `phoneNumber`, `email`) should be encapsulated"
java,Java/SmellyUnannotated/Cashier.java,Cashier,Switch Statements,Object-Orientation Abusers,handleComplaint,,,,Overuse of if-else statements to handle different complaints
java,Java/SmellyUnannotated/Cashier.java,Cashier,Shotgun Surgery,Change Preventers,updateContactInfo,,,,Multiple update methods modifying individual fields instead of a single encapsulated update
java,Java/SmellyUnannotated/Cashier.java,Cashier,Shotgun Surgery,Change Preventers,updateName,,,,Splitting name updates across different methods instead of a single encapsulated update
java,Java/SmellyUnannotated/Cashier.java,Cashier,Shotgun Surgery,Change Preventers,updateAddress,,,,"Similar to `updateName`, updates should be encapsulated"
java,Java/SmellyUnannotated/Cashier.java,Cashier,Shotgun Surgery,Change Preventers,updatePhoneNumber,,,,Separate field update that contributes to shotgun surgery
java,Java/SmellyUnannotated/Cashier.java,Cashier,Shotgun Surgery,Change Preventers,updateEmail,,,,Separate field update that contributes to shotgun surgery
java,Java/SmellyUnannotated/Cashier.java,Cashier,Divergent Change,Change Preventers,notifyForPromotion,,,,Multiple notification methods each handling separate concerns
java,Java/SmellyUnannotated/Cashier.java,Cashier,Divergent Change,Change Preventers,notifyForDiscount,,,,"Related to `notifyForPromotion`, but managed separately"
java,Java/SmellyUnannotated/Cashier.java,Cashier,Divergent Change,Change Preventers,notifyForNewArrivals,,,,Another notification method that should be unified
java,Java/SmellyUnannotated/Cashier.java,Cashier,Parallel Inheritance Hierarchies,Change Preventers,applyDiscount,,,,Parallel implementation of discount and loyalty points logic
java,Java/SmellyUnannotated/Cashier.java,Cashier,Parallel Inheritance Hierarchies,Change Preventers,applyLoyaltyPoints,,,,Another parallel logic similar to `applyDiscount`
java,Java/SmellyUnannotated/Cashier.java,Cashier,Speculative Generality,Dispensables,askForReceipt,,,,Method is present but never used in any flow
java,Java/SmellyUnannotated/Cashier.java,Cashier,Dead Code,Dispensables,anotherUnusedMethod,,,,Unused method that can be removed
java,Java/SmellyUnannotated/Cashier.java,Cashier,Inappropriate Intimacy,Couplers,accessInternalDetails,,,,Accessing internal attributes (`chef.isBusy()`)
java,Java/SmellyUnannotated/Cashier.java,Cashier,Message Chains,Couplers,chainOfMethods,,,,Excessive method chaining (`this.chef.cleanKitchen()`)
java,Java/SmellyUnannotated/Cashier.java,Cashier,Middle Man,Couplers,middlemanMethod,,,,Delegates work without adding value
java,Java/SmellyUnannotated/Cashier.java,Cashier,Long Method,Bloaters,longMethod,,,,"Performs multiple actions in a single method, reducing readability"
java,Java/SmellyUnannotated/Cashier.java,Cashier,Duplicate Code,Dispensables,duplicateMethod,,,,Repeated functionality with identical operations on the same attribute
java,Java/SmellyUnannotated/Chef.java,Chef,Large Class,Bloaters,Entire Class,,,,"The class handles multiple responsibilities: baking, delivering, cleaning, notifications, complaints, and discounts"
java,Java/SmellyUnannotated/Chef.java,Chef,Primitive Obsession,Bloaters,__init__,,,,Using a primitive (`boolean`) for `extraCheese` instead of a more expressive construct
java,Java/SmellyUnannotated/Chef.java,Chef,Data Clumps,Bloaters,__init__,,,,"Grouped chef details (`firstName`, `lastName`, `address`, `phoneNumber`, `email`) should be encapsulated"
java,Java/SmellyUnannotated/Chef.java,Chef,Switch Statements,Object-Orientation Abusers,handleComplaint,,,,Overuse of if-else statements to handle different complaints
java,Java/SmellyUnannotated/Chef.java,Chef,Shotgun Surgery,Change Preventers,updateContactInfo,,,,Multiple update methods modifying individual fields instead of a single encapsulated update
java,Java/SmellyUnannotated/Chef.java,Chef,Shotgun Surgery,Change Preventers,updateName,,,,Splitting name updates across different methods instead of a single encapsulated update
java,Java/SmellyUnannotated/Chef.java,Chef,Shotgun Surgery,Change Preventers,updateAddress,,,,"Similar to `updateName`, updates should be encapsulated"
java,Java/SmellyUnannotated/Chef.java,Chef,Shotgun Surgery,Change Preventers,updatePhoneNumber,,,,Separate field update that contributes to shotgun surgery
java,Java/SmellyUnannotated/Chef.java,Chef,Shotgun Surgery,Change Preventers,updateEmail,,,,Separate field update that contributes to shotgun surgery
java,Java/SmellyUnannotated/Chef.java,Chef,Divergent Change,Change Preventers,notifyForPromotion,,,,Multiple notification methods each handling separate concerns
java,Java/SmellyUnannotated/Chef.java,Chef,Divergent Change,Change Preventers,notifyForDiscount,,,,"Related to `notifyForPromotion`, but managed separately"
java,Java/SmellyUnannotated/Chef.java,Chef,Divergent Change,Change Preventers,notifyForNewArrivals,,,,Another notification method that should be unified
java,Java/SmellyUnannotated/Chef.java,Chef,Parallel Inheritance Hierarchies,Change Preventers,applyDiscount,,,,Parallel implementation of discount and loyalty points logic
java,Java/SmellyUnannotated/Chef.java,Chef,Parallel Inheritance Hierarchies,Change Preventers,applyLoyaltyPoints,,,,Another parallel logic similar to `applyDiscount`
java,Java/SmellyUnannotated/Chef.java,Chef,Speculative Generality,Dispensables,askForReceipt,,,,Method is present but never used in any flow
java,Java/SmellyUnannotated/Chef.java,Chef,Dead Code,Dispensables,anotherUnusedMethod,,,,Unused method that can be removed
java,Java/SmellyUnannotated/Chef.java,Chef,Inappropriate Intimacy,Couplers,accessInternalDetails,,,,Accessing internal attributes (`this.pizza.getTopping()`)
java,Java/SmellyUnannotated/Chef.java,Chef,Message Chains,Couplers,chainOfMethods,,,,Excessive method chaining (`this.cleanKitchen()`)
java,Java/SmellyUnannotated/Chef.java,Chef,Middle Man,Couplers,middlemanMethod,,,,Delegates work without adding value
java,Java/SmellyUnannotated/Chef.java,Chef,Long Method,Bloaters,longMethod,,,,"Performs multiple actions in a single method, reducing readability"
java,Java/SmellyUnannotated/Chef.java,Chef,Duplicate Code,Dispensables,duplicateMethod,,,,Repeated functionality with identical operations on the same attribute
java,Java/SmellyUnannotated/Customer.java,Customer,Large Class,Bloaters,Entire Class,,,,"The class handles multiple responsibilities: ordering, complaints, contact updates, notifications, and discounts"
java,Java/SmellyUnannotated/Customer.java,Customer,Primitive Obsession,Bloaters,__init__,,,,Using a primitive (`boolean`) for `frequentCustomerDiscount` instead of a more expressive construct
java,Java/SmellyUnannotated/Customer.java,Customer,Data Clumps,Bloaters,__init__,,,,"Grouped customer details (`firstName`, `lastName`, `address`, `phoneNumber`, `email`) should be encapsulated"
java,Java/SmellyUnannotated/Customer.java,Customer,Switch Statements,Object-Orientation Abusers,handleComplaint,,,,Overuse of if-else statements to handle different complaints
java,Java/SmellyUnannotated/Customer.java,Customer,Shotgun Surgery,Change Preventers,updateContactInfo,,,,Multiple update methods modifying individual fields instead of a single encapsulated update
java,Java/SmellyUnannotated/Customer.java,Customer,Shotgun Surgery,Change Preventers,updateName,,,,Splitting name updates across different methods instead of a single encapsulated update
java,Java/SmellyUnannotated/Customer.java,Customer,Shotgun Surgery,Change Preventers,updateAddress,,,,"Similar to `updateName`, updates should be encapsulated"
java,Java/SmellyUnannotated/Customer.java,Customer,Shotgun Surgery,Change Preventers,updatePhoneNumber,,,,Separate field update that contributes to shotgun surgery
java,Java/SmellyUnannotated/Customer.java,Customer,Shotgun Surgery,Change Preventers,updateEmail,,,,Separate field update that contributes to shotgun surgery
java,Java/SmellyUnannotated/Customer.java,Customer,Divergent Change,Change Preventers,notifyForPromotion,,,,Multiple notification methods each handling separate concerns
java,Java/SmellyUnannotated/Customer.java,Customer,Divergent Change,Change Preventers,notifyForDiscount,,,,"Related to `notifyForPromotion`, but managed separately"
java,Java/SmellyUnannotated/Customer.java,Customer,Divergent Change,Change Preventers,notifyForNewArrivals,,,,Another notification method that should be unified
java,Java/SmellyUnannotated/Customer.java,Customer,Parallel Inheritance Hierarchies,Change Preventers,applyDiscount,,,,Parallel implementation of discount and loyalty points logic
java,Java/SmellyUnannotated/Customer.java,Customer,Parallel Inheritance Hierarchies,Change Preventers,applyLoyaltyPoints,,,,Another parallel logic similar to `applyDiscount`
java,Java/SmellyUnannotated/Customer.java,Customer,Speculative Generality,Dispensables,askForReceipt,,,,Method is present but never used in any flow
java,Java/SmellyUnannotated/Customer.java,Customer,Dead Code,Dispensables,anotherUnusedMethod,,,,Unused method that can be removed
java,Java/SmellyUnannotated/Customer.java,Customer,Feature Envy,Couplers,orderPizza,,,,Excessive reliance on another class (`pizzaShop`) for core functionality
