language,file_path,class_name,smell_type,category,method,line_start,line_end,annotation_kind,evidence
python,Python/SmellyUnannotated/Cashier.py,Cashier,Large Class,Bloaters,Entire Class,,,,"The class handles multiple responsibilities: order taking, complaints, discounts, customer contact, and deliveries"
python,Python/SmellyUnannotated/Cashier.py,Cashier,Primitive Obsession,Bloaters,__init__,,,,Using a primitive (`bool`) for `frequent_customer_discount` instead of a more expressive construct
python,Python/SmellyUnannotated/Cashier.py,Cashier,Data Clumps,Bloaters,__init__,,,,"Grouped customer details (`first_name`, `last_name`, `address`, `phone_number`, `email`) should be encapsulated"
python,Python/SmellyUnannotated/Cashier.py,Cashier,Long Parameter List,Bloaters,order_with_unnecessary_details,,,,"Method receives multiple unrelated parameters (`pizza_type`, `size`, `crust_type`, etc.)"
python,Python/SmellyUnannotated/Cashier.py,Cashier,Switch Statements,Object-Orientation Abusers,handle_complaint,,,,Overuse of if-else statements to handle different complaints
python,Python/SmellyUnannotated/Cashier.py,Cashier,Temporary Field,Object-Orientation Abusers,__init__,,,,"Fields (`temp_discount_code`, `temp_order_note`) used only under specific conditions"
python,Python/SmellyUnannotated/Cashier.py,Cashier,Refused Bequest,Object-Orientation Abusers,refused_bequest,,,,Method is meant for inheritance but is empty
python,Python/SmellyUnannotated/Cashier.py,Cashier,Shotgun Surgery,Change Preventers,update_contact_info,,,,Multiple update methods modifying individual fields instead of a single encapsulated update
python,Python/SmellyUnannotated/Cashier.py,Cashier,Shotgun Surgery,Change Preventers,update_name,,,,Splitting name updates across different methods instead of a single encapsulated update
python,Python/SmellyUnannotated/Cashier.py,Cashier,Shotgun Surgery,Change Preventers,update_address,,,,"Similar to `update_name`, updates should be encapsulated"
python,Python/SmellyUnannotated/Cashier.py,Cashier,Shotgun Surgery,Change Preventers,update_phone_number,,,,Separate field update that contributes to shotgun surgery
python,Python/SmellyUnannotated/Cashier.py,Cashier,Shotgun Surgery,Change Preventers,update_email,,,,Separate field update that contributes to shotgun surgery
python,Python/SmellyUnannotated/Cashier.py,Cashier,Divergent Change,Change Preventers,notify_for_promotion,,,,Multiple notification methods each handling separate concerns
python,Python/SmellyUnannotated/Cashier.py,Cashier,Divergent Change,Change Preventers,notify_for_discount,,,,"Related to `notify_for_promotion`, but managed separately"
python,Python/SmellyUnannotated/Cashier.py,Cashier,Divergent Change,Change Preventers,notify_for_new_arrivals,,,,Another notification method that should be unified
python,Python/SmellyUnannotated/Cashier.py,Cashier,Parallel Inheritance Hierarchies,Change Preventers,apply_discount,,,,Parallel implementation of discount and loyalty points logic
python,Python/SmellyUnannotated/Cashier.py,Cashier,Parallel Inheritance Hierarchies,Change Preventers,apply_loyalty_points,,,,Another parallel logic similar to `apply_discount`
python,Python/SmellyUnannotated/Cashier.py,Cashier,Speculative Generality,Dispensables,ask_for_receipt,,,,Method is present but never used in any flow
python,Python/SmellyUnannotated/Cashier.py,Cashier,Dead Code,Dispensables,another_unused_method,,,,Unused method that can be removed
python,Python/SmellyUnannotated/Cashier.py,Cashier,Dead Code,Dispensables,yet_another_unused_method,,,,Another unused method
python,Python/SmellyUnannotated/Cashier.py,Cashier,Duplicate Code,Dispensables,duplicate_method,,,,Repeated functionality with identical operations on the same attribute
python,Python/SmellyUnannotated/Cashier.py,Cashier,Feature Envy,Couplers,take_order,,,,Excessive reliance on another class (`chef`) for core functionality
python,Python/SmellyUnannotated/Cashier.py,Cashier,Inappropriate Intimacy,Couplers,calm_customer_down,,,,Accessing internal methods of `chef` (`clean_kitchen()`)
python,Python/SmellyUnannotated/Cashier.py,Cashier,Message Chains,Couplers,chain_of_methods,,,,Excessive method chaining (`self.chef.clean_kitchen()`)
python,Python/SmellyUnannotated/Cashier.py,Cashier,Middle Man,Couplers,middleman_method,,,,Delegates work without adding value
python,Python/SmellyUnannotated/Cashier.py,Cashier,Long Method,Bloaters,long_method,,,,"Performs multiple actions in a single method, reducing readability"
python,Python/SmellyUnannotated/Chef.py,Chef,Large Class,Bloaters,Entire Class,,,,"The class handles multiple responsibilities: baking, delivering, cleaning, notifications, complaints, and discounts"
python,Python/SmellyUnannotated/Chef.py,Chef,Primitive Obsession,Bloaters,__init__,,,,Using a primitive (`bool`) for `frequent_customer_discount` instead of a more expressive construct
python,Python/SmellyUnannotated/Chef.py,Chef,Data Clumps,Bloaters,__init__,,,,"Grouped chef details (`first_name`, `last_name`, `address`, `phone_number`, `email`) should be encapsulated"
python,Python/SmellyUnannotated/Chef.py,Chef,Long Parameter List,Bloaters,order_with_unnecessary_details,,,,"Method receives multiple unrelated parameters (`pizza_type`, `size`, `crust_type`, etc.)"
python,Python/SmellyUnannotated/Chef.py,Chef,Switch Statements,Object-Orientation Abusers,handle_complaint,,,,Overuse of if-else statements to handle different complaints
