language,file_path,class_name,smell_type,category,method,line_start,line_end,annotation_kind,evidence
java,Java/SmellyAnnotated/Cashier.java,Cashier,Primitive Obsession,Bloaters,Entire Class,12,13,block,    // Primitive Obsession
java,Java/SmellyAnnotated/Cashier.java,Cashier,Data Clumps,Bloaters,Entire Class,15,20,block,    // Data Clumps
java,Java/SmellyAnnotated/Cashier.java,Cashier,Temporary Field,Object-Orientation Abusers,Entire Class,22,24,block,    // Temporary Fields
java,Java/SmellyAnnotated/Cashier.java,Cashier,Primitive Obsession,Bloaters,Cashier,28,28,inline,        this.frequentCustomerDiscount = false; // Primitive Obsession
java,Java/SmellyAnnotated/Cashier.java,Cashier,Speculative Generality,Dispensables,askForReceipt,55,55,inline,"        System.out.println(""Customer is asking for a receipt."");  // Speculative Generality (unused method)"
java,Java/SmellyAnnotated/Cashier.java,Cashier,Dead Code,Dispensables,anotherUnusedMethod,59,60,block,        // Dead Code (method is never called)
java,Java/SmellyAnnotated/Cashier.java,Cashier,Long Method,Bloaters,longMethod,63,70,block,        // Long Method (too many tasks in a single method)
java,Java/SmellyAnnotated/Cashier.java,Cashier,Duplicate Code,Dispensables,duplicateMethod,73,76,block,        // Duplicate Code (repeating functionality)
java,Java/SmellyAnnotated/Cashier.java,Cashier,Message Chains,Couplers,chainOfMethods,79,82,block,        // Message Chain (calling methods on objects returned by another method)
java,Java/SmellyAnnotated/Cashier.java,Cashier,Middle Man,Couplers,middlemanMethod,85,88,block,        // Middle Man (methods that delegate to other methods)
java,Java/SmellyAnnotated/Cashier.java,Cashier,Shotgun Surgery,Change Preventers,updateContactInfo,100,106,block,        // Shotgun Surgery (changing multiple methods to update contact info)
java,Java/SmellyAnnotated/Cashier.java,Cashier,Shotgun Surgery,Change Preventers,updateName,109,112,block,        // Shotgun Surgery (separate method to update name)
java,Java/SmellyAnnotated/Cashier.java,Cashier,Shotgun Surgery,Change Preventers,updateAddress,115,117,block,        // Shotgun Surgery (separate method to update address)
java,Java/SmellyAnnotated/Cashier.java,Cashier,Shotgun Surgery,Change Preventers,updatePhoneNumber,120,122,block,        // Shotgun Surgery (separate method to update phone number)
java,Java/SmellyAnnotated/Cashier.java,Cashier,Shotgun Surgery,Change Preventers,updateEmail,125,127,block,        // Shotgun Surgery (separate method to update email)
java,Java/SmellyAnnotated/Cashier.java,Cashier,Divergent Change,Change Preventers,notifyForPromotion,130,132,block,        // Divergent Change (method to notify for promotion)
java,Java/SmellyAnnotated/Cashier.java,Cashier,Divergent Change,Change Preventers,notifyForDiscount,135,137,block,        // Divergent Change (method to notify for discount)
java,Java/SmellyAnnotated/Cashier.java,Cashier,Divergent Change,Change Preventers,notifyForNewArrivals,140,142,block,        // Divergent Change (method to notify for new arrivals)
java,Java/SmellyAnnotated/Cashier.java,Cashier,Parallel Inheritance Hierarchies,Object-Orientation Abusers,applyDiscount,145,147,block,        // Parallel Inheritance Hierarchies (method to apply discount)
java,Java/SmellyAnnotated/Cashier.java,Cashier,Parallel Inheritance Hierarchies,Object-Orientation Abusers,applyLoyaltyPoints,150,152,block,        // Parallel Inheritance Hierarchies (method to apply loyalty points)
java,Java/SmellyAnnotated/Cashier.java,Cashier,Switch Statements,Object-Orientation Abusers,handleComplaint,155,158,method-scope,        // Switch Statements (using if-else to simulate switch)
java,Java/SmellyAnnotated/Cashier.java,Cashier,Refused Bequest,Object-Orientation Abusers,refusedBequest,168,169,block,        // Refused Bequest (method that should be inherited but is empty)
java,Java/SmellyAnnotated/Cashier.java,Cashier,Inappropriate Intimacy,Couplers,accessInternalDetails,172,175,block,        // Inappropriate Intimacy (accessing internal details of another class)
java,Java/SmellyAnnotated/Chef.java,Chef,Primitive Obsession,Bloaters,Entire Class,16,17,block,    // Primitive Obsession
java,Java/SmellyAnnotated/Chef.java,Chef,Data Clumps,Bloaters,Entire Class,19,24,block,    // Data Clumps
java,Java/SmellyAnnotated/Chef.java,Chef,Temporary Field,Object-Orientation Abusers,Entire Class,26,28,block,    // Temporary Fields
java,Java/SmellyAnnotated/Chef.java,Chef,Primitive Obsession,Bloaters,Chef,36,36,inline,        this.extraCheese = false; // Primitive Obsession
java,Java/SmellyAnnotated/Chef.java,Chef,Shotgun Surgery,Change Preventers,updateContactInfo,68,74,block,        // Shotgun Surgery (changing multiple methods to update contact info)
java,Java/SmellyAnnotated/Chef.java,Chef,Shotgun Surgery,Change Preventers,updateName,77,80,block,        // Shotgun Surgery (separate method to update name)
java,Java/SmellyAnnotated/Chef.java,Chef,Shotgun Surgery,Change Preventers,updateAddress,83,85,block,        // Shotgun Surgery (separate method to update address)
java,Java/SmellyAnnotated/Chef.java,Chef,Shotgun Surgery,Change Preventers,updatePhoneNumber,88,90,block,        // Shotgun Surgery (separate method to update phone number)
java,Java/SmellyAnnotated/Chef.java,Chef,Shotgun Surgery,Change Preventers,updateEmail,93,95,block,        // Shotgun Surgery (separate method to update email)
java,Java/SmellyAnnotated/Chef.java,Chef,Divergent Change,Change Preventers,notifyForPromotion,98,100,block,        // Divergent Change (method to notify for promotion)
java,Java/SmellyAnnotated/Chef.java,Chef,Divergent Change,Change Preventers,notifyForDiscount,103,105,block,        // Divergent Change (method to notify for discount)
java,Java/SmellyAnnotated/Chef.java,Chef,Divergent Change,Change Preventers,notifyForNewArrivals,108,110,block,        // Divergent Change (method to notify for new arrivals)
java,Java/SmellyAnnotated/Chef.java,Chef,Parallel Inheritance Hierarchies,Object-Orientation Abusers,applyDiscount,113,115,block,        // Parallel Inheritance Hierarchies (method to apply discount)
java,Java/SmellyAnnotated/Chef.java,Chef,Parallel Inheritance Hierarchies,Object-Orientation Abusers,applyLoyaltyPoints,118,120,block,        // Parallel Inheritance Hierarchies (method to apply loyalty points)
java,Java/SmellyAnnotated/Chef.java,Chef,Switch Statements,Object-Orientation Abusers,handleComplaint,123,126,method-scope,        // Switch Statements (using if-else to simulate switch)
java,Java/SmellyAnnotated/Chef.java,Chef,Speculative Generality,Dispensables,askForReceipt,136,136,inline,"        System.out.println(""Customer is asking for a receipt."");  // Speculative Generality (unused method)"
java,Java/SmellyAnnotated/Chef.java,Chef,Dead Code,Dispensables,anotherUnusedMethod,140,141,block,        // Dead Code (method is never called)
java,Java/SmellyAnnotated/Chef.java,Chef,Dead Code,Dispensables,yetAnotherUnusedMethod,144,145,block,        // More Dead Code
java,Java/SmellyAnnotated/Chef.java,Chef,Long Method,Bloaters,longMethod,148,166,block,        // Long Method (too many tasks in a single method)
java,Java/SmellyAnnotated/Chef.java,Chef,Long Parameter List,Bloaters,orderWithUnnecessaryDetails,169,174,block,        // Long Parameter List (too many parameters in the method)
