language,file_path,class_name,smell_type,category,method,line_start,line_end,annotation_kind,evidence
javascript,JavaScript/SmellyUnannotated/Cashier.js,Cashier,Large Class,Bloaters,Entire Class,,,,"The class handles multiple responsibilities: order taking, complaints, discounts, customer contact, and deliveries"
javascript,JavaScript/SmellyUnannotated/Cashier.js,Cashier,Primitive Obsession,Bloaters,constructor,,,,Using a primitive (`boolean`) for `frequentCustomerDiscount` instead of a more expressive construct
javascript,JavaScript/SmellyUnannotated/Cashier.js,Cashier,Data Clumps,Bloaters,constructor,,,,"Grouped customer details (`firstName`, `lastName`, `address`, `phoneNumber`, `email`) should be encapsulated"
javascript,JavaScript/SmellyUnannotated/Cashier.js,Cashier,Switch Statements,Object-Orientation Abusers,handleComplaint,,,,Overuse of if-else statements to handle different complaints
javascript,JavaScript/SmellyUnannotated/Cashier.js,Cashier,Shotgun Surgery,Change Preventers,updateContactInfo,,,,Multiple update methods modifying individual fields instead of a single encapsulated update
javascript,JavaScript/SmellyUnannotated/Cashier.js,Cashier,Shotgun Surgery,Change Preventers,updateName,,,,Splitting name updates across different methods instead of a single encapsulated update
javascript,JavaScript/SmellyUnannotated/Cashier.js,Cashier,Shotgun Surgery,Change Preventers,updateAddress,,,,"Similar to `updateName`, updates should be encapsulated"
javascript,JavaScript/SmellyUnannotated/Cashier.js,Cashier,Shotgun Surgery,Change Preventers,updatePhoneNumber,,,,Separate field update that contributes to shotgun surgery
javascript,JavaScript/SmellyUnannotated/Cashier.js,Cashier,Shotgun Surgery,Change Preventers,updateEmail,,,,Separate field update that contributes to shotgun surgery
javascript,JavaScript/SmellyUnannotated/Cashier.js,Cashier,Divergent Change,Change Preventers,notifyForPromotion,,,,Multiple notification methods each handling separate concerns
javascript,JavaScript/SmellyUnannotated/Cashier.js,Cashier,Divergent Change,Change Preventers,notifyForDiscount,,,,"Related to `notifyForPromotion`, but managed separately"
javascript,JavaScript/SmellyUnannotated/Cashier.js,Cashier,Divergent Change,Change Preventers,notifyForNewArrivals,,,,Another notification method that should be unified
javascript,JavaScript/SmellyUnannotated/Cashier.js,Cashier,Parallel Inheritance Hierarchies,Change Preventers,applyDiscount,,,,Parallel implementation of discount and loyalty points logic
javascript,JavaScript/SmellyUnannotated/Cashier.js,Cashier,Parallel Inheritance Hierarchies,Change Preventers,applyLoyaltyPoints,,,,Another parallel logic similar to `applyDiscount`
javascript,JavaScript/SmellyUnannotated/Cashier.js,Cashier,Speculative Generality,Dispensables,askForReceipt,,,,Method is present but never used in any flow
javascript,JavaScript/SmellyUnannotated/Cashier.js,Cashier,Dead Code,Dispensables,anotherUnusedMethod,,,,Unused method that can be removed
javascript,JavaScript/SmellyUnannotated/Cashier.js,Cashier,Inappropriate Intimacy,Couplers,accessInternalDetails,,,,Accessing internal attributes (`this.chef.busy`)
javascript,JavaScript/SmellyUnannotated/Cashier.js,Cashier,Message Chains,Couplers,chainOfMethods,,,,Excessive method chaining (`this.chef.cleanKitchen()`)
javascript,JavaScript/SmellyUnannotated/Cashier.js,Cashier,Middle Man,Couplers,middlemanMethod,,,,Delegates work without adding value
javascript,JavaScript/SmellyUnannotated/Cashier.js,Cashier,Long Method,Bloaters,longMethod,,,,"Performs multiple actions in a single method, reducing readability"
javascript,JavaScript/SmellyUnannotated/Cashier.js,Cashier,Duplicate Code,Dispensables,duplicateMethod,,,,Repeated functionality with identical operations on the same attribute
javascript,JavaScript/SmellyUnannotated/Chef.js,Chef,Large Class,Bloaters,Entire Class,,,,"The class handles multiple responsibilities: baking, delivering, cleaning, notifications, complaints, and discounts"
javascript,JavaScript/SmellyUnannotated/Chef.js,Chef,Primitive Obsession,Bloaters,constructor,,,,Using a primitive (`boolean`) for `frequentCustomerDiscount` instead of a more expressive construct
javascript,JavaScript/SmellyUnannotated/Chef.js,Chef,Data Clumps,Bloaters,constructor,,,,"Grouped chef details (`firstName`, `lastName`, `address`, `phoneNumber`, `email`) should be encapsulated"
javascript,JavaScript/SmellyUnannotated/Chef.js,Chef,Switch Statements,Object-Orientation Abusers,handleComplaint,,,,Overuse of if-else statements to handle different complaints
javascript,JavaScript/SmellyUnannotated/Chef.js,Chef,Shotgun Surgery,Change Preventers,updateContactInfo,,,,Multiple update methods modifying individual fields instead of a single encapsulated update
javascript,JavaScript/SmellyUnannotated/Chef.js,Chef,Shotgun Surgery,Change Preventers,updateName,,,,Splitting name updates across different methods instead of a single encapsulated update
javascript,JavaScript/SmellyUnannotated/Chef.js,Chef,Shotgun Surgery,Change Preventers,updateAddress,,,,"Similar to `updateName`, updates should be encapsulated"
javascript,JavaScript/SmellyUnannotated/Chef.js,Chef,Shotgun Surgery,Change Preventers,updatePhoneNumber,,,,Separate field update that contributes to shotgun surgery
javascript,JavaScript/SmellyUnannotated/Chef.js,Chef,Shotgun Surgery,Change Preventers,updateEmail,,,,Separate field update that contributes to shotgun surgery
javascript,JavaScript/SmellyUnannotated/Chef.js,Chef,Divergent Change,Change Preventers,notifyForPromotion,,,,Multiple notification methods each handling separate concerns
javascript,JavaScript/SmellyUnannotated/Chef.js,Chef,Divergent Change,Change Preventers,notifyForDiscount,,,,"Related to `notifyForPromotion`, but managed separately"
javascript,JavaScript/SmellyUnannotated/Chef.js,Chef,Divergent Change,Change Preventers,notifyForNewArrivals,,,,Another notification method that should be unified
javascript,JavaScript/SmellyUnannotated/Chef.js,Chef,Parallel Inheritance Hierarchies,Change Preventers,applyDiscount,,,,Parallel implementation of discount and loyalty points logic
javascript,JavaScript/SmellyUnannotated/Chef.js,Chef,Parallel Inheritance Hierarchies,Change Preventers,applyLoyaltyPoints,,,,Another parallel logic similar to `applyDiscount`
javascript,JavaScript/SmellyUnannotated/Chef.js,Chef,Speculative Generality,Dispensables,askForReceipt,,,,Method is present but never used in any flow
javascript,JavaScript/SmellyUnannotated/Chef.js,Chef,Dead Code,Dispensables,anotherUnusedMethod,,,,Unused method that can be removed
javascript,JavaScript/SmellyUnannotated/Chef.js,Chef,Inappropriate Intimacy,Couplers,accessInternalDetails,,,,Accessing internal attributes (`this.pizza`)
javascript,JavaScript/SmellyUnannotated/Chef.js,Chef,Message Chains,Couplers,chainOfMethods,,,,Excessive method chaining (`this.cleanKitchen()`)
javascript,JavaScript/SmellyUnannotated/Chef.js,Chef,Middle Man,Couplers,middlemanMethod,,,,Delegates work without adding value
javascript,JavaScript/SmellyUnannotated/Chef.js,Chef,Long Method,Bloaters,longMethod,,,,"Performs multiple actions in a single method, reducing readability"
javascript,JavaScript/SmellyUnannotated/Chef.js,Chef,Duplicate Code,Dispensables,duplicateMethod,,,,Repeated functionality with identical operations on the same attribute
javascript,JavaScript/SmellyUnannotated/Customer.js,Customer,Large Class,Bloaters,Entire Class,,,,"The class handles multiple responsibilities: ordering, complaints, contact updates, notifications, and discounts"
javascript,JavaScript/SmellyUnannotated/Customer.js,Customer,Primitive Obsession,Bloaters,constructor,,,,Using a primitive (`boolean`) for `frequentCustomerDiscount` instead of a more expressive construct
javascript,JavaScript/SmellyUnannotated/Customer.js,Customer,Data Clumps,Bloaters,constructor,,,,"Grouped customer details (`firstName`, `lastName`, `address`, `phoneNumber`, `email`) should be encapsulated"
javascript,JavaScript/SmellyUnannotated/Customer.js,Customer,Switch Statements,Object-Orientation Abusers,handleComplaint,,,,Overuse of if-else statements to handle different complaints
javascript,JavaScript/SmellyUnannotated/Customer.js,Customer,Shotgun Surgery,Change Preventers,updateContactInfo,,,,Multiple update methods modifying individual fields instead of a single encapsulated update
javascript,JavaScript/SmellyUnannotated/Customer.js,Customer,Shotgun Surgery,Change Preventers,updateName,,,,Splitting name updates across different methods instead of a single encapsulated update
javascript,JavaScript/SmellyUnannotated/Customer.js,Customer,Shotgun Surgery,Change Preventers,updateAddress,,,,"Similar to `updateName`, updates should be encapsulated"
javascript,JavaScript/SmellyUnannotated/Customer.js,Customer,Shotgun Surgery,Change Preventers,updatePhoneNumber,,,,Separate field update that contributes to shotgun surgery
javascript,JavaScript/SmellyUnannotated/Customer.js,Customer,Shotgun Surgery,Change Preventers,updateEmail,,,,Separate field update that contributes to shotgun surgery
javascript,JavaScript/SmellyUnannotated/Customer.js,Customer,Divergent Change,Change Preventers,notifyForPromotion,,,,Multiple notification methods each handling separate concerns
javascript,JavaScript/SmellyUnannotated/Customer.js,Customer,Divergent Change,Change Preventers,notifyForDiscount,,,,"Related to `notifyForPromotion`, but managed separately"
javascript,JavaScript/SmellyUnannotated/Customer.js,Customer,Divergent Change,Change Preventers,notifyForNewArrivals,,,,Another notification method that should be unified
javascript,JavaScript/SmellyUnannotated/Customer.js,Customer,Parallel Inheritance Hierarchies,Change Preventers,applyDiscount,,,,Parallel implementation of discount and loyalty points logic
javascript,JavaScript/SmellyUnannotated/Customer.js,Customer,Parallel Inheritance Hierarchies,Change Preventers,applyLoyaltyPoints,,,,Another parallel logic similar to `applyDiscount`
javascript,JavaScript/SmellyUnannotated/Customer.js,Customer,Speculative Generality,Dispensables,askForReceipt,,,,Method is present but never used in any flow
javascript,JavaScript/SmellyUnannotated/Customer.js,Customer,Dead Code,Dispensables,anotherUnusedMethod,,,,Unused method that can be removed
