language,file_path,class_name,smell_type,category,method,line_start,line_end,annotation_kind,evidence
cpp,C++/SmellyUnannotated/Cashier.cpp,Cashier,Large Class,Bloaters,Entire Class,,,,"The class handles multiple responsibilities: order taking, complaints, discounts, customer contact, and deliveries"
cpp,C++/SmellyUnannotated/Cashier.cpp,Cashier,Primitive Obsession,Bloaters,Constructor,,,,Using a primitive (`bool`) for `frequentCustomerDiscount` instead of a more expressive construct
cpp,C++/SmellyUnannotated/Cashier.cpp,Cashier,Data Clumps,Bloaters,Constructor,,,,"Grouped customer details (`firstName`, `lastName`, `address`, `phoneNumber`, `email`) should be encapsulated"
cpp,C++/SmellyUnannotated/Cashier.cpp,Cashier,Switch Statements,Object-Orientation Abusers,handleComplaint,,,,Overuse of if-else statements to handle different complaints
cpp,C++/SmellyUnannotated/Cashier.cpp,Cashier,Divergent Change,Change Preventers,notifyForPromotion,,,,Multiple notification methods each handling separate concerns
cpp,C++/SmellyUnannotated/Cashier.cpp,Cashier,Divergent Change,Change Preventers,notifyForDiscount,,,,"Related to `notifyForPromotion`, but managed separately"
cpp,C++/SmellyUnannotated/Cashier.cpp,Cashier,Divergent Change,Change Preventers,notifyForNewArrivals,,,,Another notification method that should be unified
cpp,C++/SmellyUnannotated/Cashier.cpp,Cashier,Parallel Inheritance Hierarchies,Change Preventers,applyDiscount,,,,Parallel implementation of discount and loyalty points logic
cpp,C++/SmellyUnannotated/Cashier.cpp,Cashier,Parallel Inheritance Hierarchies,Change Preventers,applyLoyaltyPoints,,,,Another parallel logic similar to `applyDiscount`
cpp,C++/SmellyUnannotated/Cashier.cpp,Cashier,Speculative Generality,Dispensables,askForReceipt,,,,Method is present but never used in any flow
cpp,C++/SmellyUnannotated/Cashier.cpp,Cashier,Dead Code,Dispensables,anotherUnusedMethod,,,,Unused method that can be removed
cpp,C++/SmellyUnannotated/Cashier.cpp,Cashier,Inappropriate Intimacy,Couplers,accessInternalDetails,,,,Accessing internal attributes (`chef->isBusy()`)
cpp,C++/SmellyUnannotated/Cashier.cpp,Cashier,Message Chains,Couplers,chainOfMethods,,,,Excessive method chaining (`accessInternalDetails()`)
cpp,C++/SmellyUnannotated/Cashier.cpp,Cashier,Middle Man,Couplers,middlemanMethod,,,,Delegates work without adding value
cpp,C++/SmellyUnannotated/Cashier.cpp,Cashier,Long Method,Bloaters,longMethod,,,,"Performs multiple actions in a single method, reducing readability"
cpp,C++/SmellyUnannotated/Cashier.cpp,Cashier,Duplicate Code,Dispensables,duplicateMethod,,,,Repeated functionality with identical operations on the same attribute
cpp,C++/SmellyUnannotated/Cashier.h,Cashier,Large Class,Bloaters,Entire Class,,,,"The class handles multiple responsibilities: order taking, complaints, discounts, customer contact, and deliveries"
cpp,C++/SmellyUnannotated/Cashier.h,Cashier,Primitive Obsession,Bloaters,Constructor,,,,Using a primitive (`bool`) for `frequentCustomerDiscount` instead of a more expressive construct
cpp,C++/SmellyUnannotated/Cashier.h,Cashier,Data Clumps,Bloaters,Constructor,,,,"Grouped customer details (`firstName`, `lastName`, `address`, `phoneNumber`, `email`) should be encapsulated"
cpp,C++/SmellyUnannotated/Cashier.h,Cashier,Switch Statements,Object-Orientation Abusers,handleComplaint,,,,Overuse of if-else statements to handle different complaints
cpp,C++/SmellyUnannotated/Cashier.h,Cashier,Divergent Change,Change Preventers,notifyForPromotion,,,,Multiple notification methods each handling separate concerns
cpp,C++/SmellyUnannotated/Cashier.h,Cashier,Divergent Change,Change Preventers,notifyForDiscount,,,,"Related to `notifyForPromotion`, but managed separately"
cpp,C++/SmellyUnannotated/Cashier.h,Cashier,Divergent Change,Change Preventers,notifyForNewArrivals,,,,Another notification method that should be unified
cpp,C++/SmellyUnannotated/Cashier.h,Cashier,Parallel Inheritance Hierarchies,Change Preventers,applyDiscount,,,,Parallel implementation of discount and loyalty points logic
cpp,C++/SmellyUnannotated/Cashier.h,Cashier,Parallel Inheritance Hierarchies,Change Preventers,applyLoyaltyPoints,,,,Another parallel logic similar to `applyDiscount`
cpp,C++/SmellyUnannotated/Cashier.h,Cashier,Speculative Generality,Dispensables,askForReceipt,,,,Method is present but never used in any flow
cpp,C++/SmellyUnannotated/Cashier.h,Cashier,Dead Code,Dispensables,anotherUnusedMethod,,,,Unused method that can be removed
cpp,C++/SmellyUnannotated/Cashier.h,Cashier,Inappropriate Intimacy,Couplers,accessInternalDetails,,,,Accessing internal attributes (`chef->isBusy()`)
cpp,C++/SmellyUnannotated/Cashier.h,Cashier,Message Chains,Couplers,chainOfMethods,,,,Excessive method chaining (`accessInternalDetails()`)
cpp,C++/SmellyUnannotated/Cashier.h,Cashier,Middle Man,Couplers,middlemanMethod,,,,Delegates work without adding value
cpp,C++/SmellyUnannotated/Cashier.h,Cashier,Long Method,Bloaters,longMethod,,,,"Performs multiple actions in a single method, reducing readability"
cpp,C++/SmellyUnannotated/Cashier.h,Cashier,Duplicate Code,Dispensables,duplicateMethod,,,,Repeated functionality with identical operations on the same attribute
cpp,C++/SmellyUnannotated/Chef.cpp,Chef,Large Class,Bloaters,Entire Class,,,,"The class handles multiple responsibilities: baking, delivering, cleaning, notifications, complaints, and discounts"
cpp,C++/SmellyUnannotated/Chef.cpp,Chef,Primitive Obsession,Bloaters,Constructor,,,,Using a primitive (`bool`) for `extraCheese` instead of a more expressive construct
cpp,C++/SmellyUnannotated/Chef.cpp,Chef,Data Clumps,Bloaters,Constructor,,,,"Grouped chef details (`firstName`, `lastName`, `address`, `phoneNumber`, `email`) should be encapsulated"
cpp,C++/SmellyUnannotated/Chef.cpp,Chef,Switch Statements,Object-Orientation Abusers,handleComplaint,,,,Overuse of if-else statements to handle different complaints
cpp,C++/SmellyUnannotated/Chef.cpp,Chef,Divergent Change,Change Preventers,notifyForPromotion,,,,Multiple notification methods each handling separate concerns
cpp,C++/SmellyUnannotated/Chef.cpp,Chef,Divergent Change,Change Preventers,notifyForDiscount,,,,"Related to `notifyForPromotion`, but managed separately"
