language,file_path,class_name,smell_type,category,method,line_start,line_end,annotation_kind,evidence
cpp,C++/SmellyAnnotated/Cashier.cpp,Cashier,Inappropriate Intimacy,Couplers,accessInternalDetails,118,120,block,    // Inappropriate Intimacy
cpp,C++/SmellyAnnotated/Chef.cpp,Chef,Primitive Obsession,Bloaters,Entire Class,19,19,inline,    extraCheese = false; // Primitive Obsession
cpp,C++/SmellyAnnotated/Chef.cpp,Chef,Shotgun Surgery,Change Preventers,updateContactInfo,54,60,block,    // Shotgun Surgery
cpp,C++/SmellyAnnotated/Chef.cpp,Chef,Divergent Change,Change Preventers,notifyForPromotion,63,65,block,    // Divergent Change
cpp,C++/SmellyAnnotated/Chef.cpp,Chef,Divergent Change,Change Preventers,notifyForDiscount,68,70,block,    // Divergent Change
cpp,C++/SmellyAnnotated/Chef.cpp,Chef,Divergent Change,Change Preventers,notifyForNewArrivals,73,75,block,    // Divergent Change
cpp,C++/SmellyAnnotated/Chef.cpp,Chef,Parallel Inheritance Hierarchies,Object-Orientation Abusers,applyDiscount,78,80,block,    // Parallel Inheritance Hierarchies
cpp,C++/SmellyAnnotated/Chef.cpp,Chef,Parallel Inheritance Hierarchies,Object-Orientation Abusers,applyLoyaltyPoints,83,85,block,    // Parallel Inheritance Hierarchies
cpp,C++/SmellyAnnotated/Chef.cpp,Chef,Switch Statements,Object-Orientation Abusers,handleComplaint,88,91,method-scope,    // Switch Statements
cpp,C++/SmellyAnnotated/Chef.cpp,Chef,Speculative Generality,Dispensables,askForReceipt,101,103,block,    // Speculative Generality
cpp,C++/SmellyAnnotated/Chef.cpp,Chef,Dead Code,Dispensables,anotherUnusedMethod,106,107,block,    // Dead Code
cpp,C++/SmellyAnnotated/Chef.cpp,Chef,Long Method,Bloaters,longMethod,110,128,block,    // Long Method
cpp,C++/SmellyAnnotated/Chef.cpp,Chef,Long Parameter List,Bloaters,orderWithUnnecessaryDetails,131,136,block,    // Long Parameter List
cpp,C++/SmellyAnnotated/Chef.cpp,Chef,Duplicate Code,Dispensables,duplicateMethod,139,143,block,    // Duplicate Code
cpp,C++/SmellyAnnotated/Chef.cpp,Chef,Message Chains,Couplers,chainOfMethods,146,149,block,    // Message Chain
cpp,C++/SmellyAnnotated/Chef.cpp,Chef,Middle Man,Couplers,middlemanMethod,152,155,block,    // Middle Man
cpp,C++/SmellyAnnotated/Chef.cpp,Chef,Inappropriate Intimacy,Couplers,accessInternalDetails,167,169,block,    // Inappropriate Intimacy
cpp,C++/SmellyAnnotated/Chef.cpp,Chef,Refused Bequest,Object-Orientation Abusers,refusedBequest,172,173,block,    // Refused Bequest
cpp,C++/SmellyAnnotated/Chef.h,Chef,Primitive Obsession,Bloaters,Entire Class,52,53,block,    // Primitive Obsession
cpp,C++/SmellyAnnotated/Chef.h,Chef,Data Clumps,Bloaters,Entire Class,55,60,block,    // Data Clumps
cpp,C++/SmellyAnnotated/Chef.h,Chef,Temporary Field,Object-Orientation Abusers,Entire Class,62,65,block,    // Temporary Fields
cpp,C++/SmellyAnnotated/Customer.cpp,Customer,Inappropriate Intimacy,Couplers,accessInternalDetails,108,111,block,    // Inappropriate Intimacy
cpp,C++/SmellyAnnotated/Customer.h,Customer,Primitive Obsession,Bloaters,Entire Class,46,47,block,    // Primitive Obsession
cpp,C++/SmellyAnnotated/Customer.h,Customer,Data Clumps,Bloaters,Entire Class,49,54,block,    // Data Clumps
cpp,C++/SmellyAnnotated/Customer.h,Customer,Temporary Field,Object-Orientation Abusers,Entire Class,56,59,block,    // Temporary Fields
cpp,C++/SmellyAnnotated/Drink.cpp,Drink,Divergent Change,Change Preventers,notifyForPromotion,38,40,block,    // Divergent Change
cpp,C++/SmellyAnnotated/Drink.cpp,Drink,Divergent Change,Change Preventers,notifyForDiscount,43,45,block,    // Divergent Change
cpp,C++/SmellyAnnotated/Drink.cpp,Drink,Divergent Change,Change Preventers,notifyForNewArrivals,48,50,block,    // Divergent Change
cpp,C++/SmellyAnnotated/Drink.cpp,Drink,Parallel Inheritance Hierarchies,Object-Orientation Abusers,applyDiscount,53,55,block,    // Parallel Inheritance Hierarchies
cpp,C++/SmellyAnnotated/Drink.cpp,Drink,Parallel Inheritance Hierarchies,Object-Orientation Abusers,applyLoyaltyPoints,58,60,block,    // Parallel Inheritance Hierarchies
cpp,C++/SmellyAnnotated/Drink.cpp,Drink,Switch Statements,Object-Orientation Abusers,handleComplaint,63,66,method-scope,    // Switch Statements
cpp,C++/SmellyAnnotated/Drink.cpp,Drink,Speculative Generality,Dispensables,askForReceipt,76,78,block,    // Speculative Generality
cpp,C++/SmellyAnnotated/Drink.cpp,Drink,Dead Code,Dispensables,anotherUnusedMethod,81,82,block,    // Dead Code
cpp,C++/SmellyAnnotated/Drink.cpp,Drink,Long Method,Bloaters,longMethod,85,97,block,    // Long Method
cpp,C++/SmellyAnnotated/Drink.cpp,Drink,Long Parameter List,Bloaters,orderWithUnnecessaryDetails,100,103,block,    // Long Parameter List
cpp,C++/SmellyAnnotated/Drink.cpp,Drink,Duplicate Code,Dispensables,duplicateMethod,106,110,block,    // Duplicate Code
cpp,C++/SmellyAnnotated/Drink.cpp,Drink,Message Chains,Couplers,chainOfMethods,113,116,block,    // Message Chain
cpp,C++/SmellyAnnotated/Drink.cpp,Drink,Middle Man,Couplers,middlemanMethod,119,122,block,    // Middle Man
cpp,C++/SmellyAnnotated/Drink.cpp,Drink,Inappropriate Intimacy,Couplers,accessInternalDetails,134,136,block,    // Inappropriate Intimacy
cpp,C++/SmellyAnnotated/Drink.cpp,Drink,Refused Bequest,Object-Orientation Abusers,refusedBequest,139,140,block,    // Refused Bequest
cpp,C++/SmellyAnnotated/Drink.h,Drink,Primitive Obsession,Bloaters,Entire Class,46,48,block,    // Primitive Obsession
cpp,C++/SmellyAnnotated/Drink.h,Drink,Data Clumps,Bloaters,Entire Class,50,55,block,    // Data Clumps
cpp,C++/SmellyAnnotated/Drink.h,Drink,Temporary Field,Object-Orientation Abusers,Entire Class,57,60,block,    // Temporary Fields
